,original_country_name,original_ccode,original_facility_name,Coordinates,start_date,Latitude,Longitude,geometry
0,Argentina,160,Ezeiza – SF Reprocessing Facility,-34.854123.-58.522925,1968,-34.854123,-58.522925,POINT (-34.854123 -58.522925)
1,Argentina,160,Ezeiza II – SF Reprocessing Facility,-34.854123.-58.522925,1978,-34.854123,-58.522925,POINT (-34.854123 -58.522925)
2,Argentina,160,Pilcaniyeu Enrichment Facility I,-41.1226452.-70.7215709,1979,-41.1226452,-70.7215709,POINT (-41.1226452 -70.7215709)
3,Australia,900,Lucas Heights,-34.0506403.150.9872444,1965,-34.0506403,150.9872444,POINT (-34.0506403 150.9872444)
4,Australia,900,Silex Laser Enrichment Facility at Lucas Heights Science and Technology Complex,38.63805199999999.-90.221913,1982,38.63805199999999,-90.221913,POINT (38.63805199999999 -90.221913)
5,Belgium,211,"Mol, Purex Reprocessing Facility, Eurochemic",51.194551.5.119991,1960,51.194551,5.119991,POINT (51.194551 5.119991)
6,Brazil,140,Aerospace Technical Center (Institute of Advanced Studies),-23.248269919363636. -45.85989846071746,1975,-23.248269919363636, -45.85989846071746,POINT (-23.248269919363636 -45.85989846071746)
7,Brazil,140,"BRN Enrichment (Aramar Isotopic Enrichment Lab) Ipero, Sao Paulo",-23.393281.-47.6047147,1976,-23.393281,-47.6047147,POINT (-23.393281 -47.6047147)
8,Brazil,140,"INB Resende –Pilot Enrichment Facility, Rio De Janeiro",-22.4722561.-44.4649211,1982,-22.4722561,-44.4649211,POINT (-22.4722561 -44.4649211)
9,Brazil,140,IPEN – Reprocessing,-23.562264469783784. -46.73962500234428,1960,-23.562264469783784, -46.73962500234428,POINT (-23.562264469783784 -46.73962500234428)
10,Brazil,140,Pilot Enrichment Plant- Belo Horizonte (INB Resende),-19.919052.-43.9386685,1975,-19.919052,-43.9386685,POINT (-19.919052 -43.9386685)
11,Canada,20,Chalk River Site,46.0159102.-77.45227609999999,1944,46.0159102,-77.45227609999999,POINT (46.0159102 -77.45227609999999)
12,Canada,20,Montreal Lab,45.5018869.-73.56739189999999,1942,45.5018869,-73.56739189999999,POINT (45.5018869 -73.56739189999999)
13,China,710,China Institute of Atomic Energy (Diffusion Lab),28.7208.115.821061,1955,28.7208,115.821061,POINT (28.7208 115.821061)
14,China,710,China Institute of Atomic Energy (Radiochemistry Research Institute),28.7208.115.821062,-99,28.7208,115.821062,POINT (28.7208 115.821062)
15,China,710,"Plant 405 Pilot Centrifuge Plant, Hanzhong",33.0676099.107.02377,-99,33.0676099,107.02377,POINT (33.0676099 107.02377)
16,China,710,"Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong II",33.0676099.107.02377,-99,33.0676099,107.02377,POINT (33.0676099 107.02377)
17,China,710,"Heping (located in Jinkouhe, Sichuan Province, Plant 814)",29.24519.103.07845,-99,29.24519,103.07845,POINT (29.24519 103.07845)
18,China,710,Juiquan Atomic Energy Complex (Plant 404),39.7325499.98.49394,-99,39.7325499,98.49394,POINT (39.7325499 98.49394)
19,China,710,Juiquan 2 (Atomic Energy Complex),39.7325499.98.49394,1965,39.7325499,98.49394,POINT (39.7325499 98.49394)
20,China,710,"Nuclear Fuel Component Plant (Pant 812, Yibin Sichuan)",28.7512999.104.6417,1968,28.7512999,104.6417,POINT (28.7512999 104.6417)
21,China,710,"Lanzhou 1 (China Institute of Atomic Energy Tuoli, Plant 504)",36.0613799.103.83417,1958,36.0613799,103.83417,POINT (36.0613799 103.83417)
22,China,710,Lanzhou 3 (Indigenous Centrifuge Plant II),36.050357.103.850246,-99,36.050357,103.850246,POINT (36.050357 103.850246)
23,China,710,"Plant 821 (Plutonium Production Complex in Guangyuan, Sichuan)",32.4354899.105.84357,1969,32.4354899,105.84357,POINT (32.4354899 105.84357)
24,Czech Republic,315,"Nuclear Research Institute of Czechoslovakia, Rez",50.17773772546516. 14.358938898294321,-99,50.17773772546516, 14.358938898294321,POINT (50.17773772546516 14.358938898294321)
25,Egypt,651,Hot Cell Facility at Inshas Nuclear Research Center,30.387053.31.4440355,1980,30.387053,31.4440355,POINT (30.387053 31.4440355)
26,France,220,Le Bouchet -- Lab-Scale Reprocessing Plant,48.53337994177564. 2.36166,-99,48.53337994177564, 2.36166,POINT (48.53337994177564 2.36166)
27,France,220,Areva NC La Hague – UP2 – 400 (renamed HAO facility in 1976),49.6639603.-1.8485699,1961,49.6639603,-1.8485699,POINT (49.6639603 -1.8485699)
28,France,220,Areva NC La Hague – UP2 – 800,49.6639603.-1.8485699,1982,49.6639603,-1.8485699,POINT (49.6639603 -1.8485699)
29,France,220,Areva NC La Hague – UP3,49.6639603.-1.8485699,1982,49.6639603,-1.8485699,POINT (49.6639603 -1.8485699)
30,France,220,Atelier Pilote,43.5050506.5.733836,-99,43.5050506,5.733836,POINT (43.5050506 5.733836)
31,France,220,La Hague – AT1,49.6639603.-1.8485699,-99,49.6639603,-1.8485699,POINT (49.6639603 -1.8485699)
32,France,220,La Hague (Marcoule-UP1),49.6639603.-1.8485699,1952,49.6639603,-1.8485699,POINT (49.6639603 -1.8485699)
33,France,220,"ATTILA, (FONTENAY: ATTaque d’Irradiés-combustibles-en Lits d’Alumine)",48.78970972878041. 2.286202820720732,1966,48.78970972878041, 2.286202820720732,POINT (48.78970972878041 2.286202820720732)
34,France,220,Plutonium Chemistry Laboratory (LCPu) -- Fontenay-aux-Roses,48.789776.2.287181,-99,48.789776,2.287181,POINT (48.789776 2.287181)
35,France,220,FONTENAY: BÂTIMENT RADIOCHIMIE (Building 18),48.789776.2.287182,1959,48.789776,2.287182,POINT (48.789776 2.287182)
36,France,220,FONTENAY: BÂTIMENT PLUTONIUM (Building 19),48.789776.2.287183,-99,48.789776,2.287183,POINT (48.789776 2.287183)
37,France,220,Fontenay Pilot Reprocessing Plant,44.14627337596833. 4.70441761172913,1952,44.14627337596833, 4.70441761172913,POINT (44.14627337596833 4.70441761172913)
38,France,220,Eurodif (Georges Besse I),44.33015095.4.72085710509542,1974,44.33015095,4.72085710509542,POINT (44.33015095 4.72085710509542)
39,France,220,PL81 Grenoble,45.188529.5.724524,1968,45.188529,5.724524,POINT (45.188529 5.724524)
40,France,220,PL4,50.3735195.-4.1197593,1984,50.3735195,-4.1197593,POINT (50.3735195 -4.1197593)
41,France,220,Pierrelate GDP,44.37775000000001.4.696981000000001,1960,44.37775000000001,4.696981000000001,POINT (44.37775000000001 4.696981000000001)
42,France,220,"Pierrelatte, Laser",44.37775000000001.4.696981000000001,1984,44.37775000000001,4.696981000000001,POINT (44.37775000000001 4.696981000000001)
43,France,220,PP35 Pierrelatte,44.37775000000001.4.696981000000001,1968,44.37775000000001,4.696981000000001,POINT (44.37775000000001 4.696981000000001)
44,Germany,260,Enrichment Technology Company Ltd. Zweigniederlassung Deutschland,51.165691.10.451526,1960,51.165691,10.451526,POINT (51.165691 10.451526)
45,Germany,260,"Karlsruhe Nuclear Research Center, Institute for Nuclear Process Engineering",49.0068901.8.4036527,1960,49.0068901,8.4036527,POINT (49.0068901 8.4036527)
46,Germany,260,Karlsruhe Reprocessing Plant (WAK),49.0068901.8.4036527,1967,49.0068901,8.4036527,POINT (49.0068901 8.4036527)
47,Germany,260,MILLI Reprocessing Test Facility,49.09011800202879. 8.38227603148698,1965,49.09011800202879, 8.38227603148698,POINT (49.09011800202879 8.38227603148698)
48,Germany,260,Plutonium Test Extraction Facility (Reprocessing Plant Karlsruhe),49.0068901.8.4036527,1977,49.0068901,8.4036527,POINT (49.0068901 8.4036527)
49,Germany,260,"Urenco Germany GmbH, Gronau",52.2121627.7.0755789,1982,52.2121627,7.0755789,POINT (52.2121627 7.0755789)
50,Germany,260,Wackersdorf Reprocessing Plant,49.316069.12.167032,1985,49.316069,12.167032,POINT (49.316069 12.167032)
51,India,750,"BARC, Trombay (Pilot)",19.0222081.72.92686259999999,1980,19.0222081,72.92686259999999,POINT (19.0222081 72.92686259999999)
52,India,750,Bhabha Atomic Research Center (at Trombay),19.0093414.72.8984317,1964,19.0093414,72.8984317,POINT (19.0093414 72.8984317)
53,India,750,"Center for Advanced Technology, Laser Enrichment Plant",44.633911.-85.767344,1984,44.633911,-85.767344,POINT (44.633911 -85.767344)
54,India,750,Kalpakkam Reprocessing Plant (KARP) Laboratory,12.5238119.80.15681339999999,-99,12.5238119,80.15681339999999,POINT (12.5238119 80.15681339999999)
55,India,750,"Power Reactor Fuel Reprocessing (PREFRE), Bhabha Atomic Research Centre",19.018268.72.924778,1969,19.018268,72.924778,POINT (19.018268 72.924778)
56,Iran,630,Tehran Nuclear Research Center (Reprocessing),35.7218583.51.3346954,1967,35.7218583,51.3346954,POINT (35.7218583 51.3346954)
57,Iran,630,Plasma Physics Laboratories in Tehran (TNRC),35.7218583.51.3346954,-99,35.7218583,51.3346954,POINT (35.7218583 51.3346954)
58,Iraq,645,Al Tuwaitha Chemical Ion Enrichment Facility,33.21350418284557. 44.51789711102107,-99,33.21350418284557, 44.51789711102107,POINT (33.21350418284557 44.51789711102107)
59,Iraq,645,Al Tuwaitha Laser,33.21350418284557. 44.51789711102107,1981,33.21350418284557, 44.51789711102107,POINT (33.21350418284557 44.51789711102107)
60,Iraq,645,Al Tuwaitha Hot Cell,33.21350418284557. 44.51789711102107,1982,33.21350418284557, 44.51789711102107,POINT (33.21350418284557 44.51789711102107)
61,Iraq,645,Al Tarmiya (north of Baghdad),33.315241.44.3660671,1982,33.315241,44.3660671,POINT (33.315241 44.3660671)
62,Iraq,645,Al Tuwaitha Gas Diffusion Facility,33.21350418284557. 44.51789711102107,-99,33.21350418284557, 44.51789711102107,POINT (33.21350418284557 44.51789711102107)
63,Israel,666,"Negev Nuclear Research Center, Dimona Machon 8",31.0013.35.1445,1958,31.0013,35.1445,POINT (31.0013 35.1445)
64,Israel,666,"Negev Nuclear Research Center, Dimona Machon 9",31.0013.35.1445,1972,31.0013,35.1445,POINT (31.0013 35.1445)
65,Israel,666,"Negev Nuclear Research Center, Dimona Machon 2",31.0013.35.1445,1957,31.0013,35.1445,POINT (31.0013 35.1445)
66,Israel,666,Nahal Soreq,31.85223408533552.34.95024892764607,-99,31.85223408533552,34.95024892764607,POINT (31.85223408533552 34.95024892764607)
67,Italy,325,Eurex SFRE (MTR) at Saluggia in Vercelli,45.2353908.8.0105832,1964,45.2353908,8.0105832,POINT (45.2353908 8.0105832)
68,Italy,325,Eurex SFRE (Oxide) at Saluggia in Vercelli,45.2353908.8.0105832,1976,45.2353908,8.0105832,POINT (45.2353908 8.0105832)
69,Italy,325,Eurex SFRE (PU Nitrate Line) Saluggia in Vercelli,45.2353908.8.0105832,1981,45.2353908,8.0105832,POINT (45.2353908 8.0105832)
70,Italy,325,ITREC at Trisaia,40.16549405231614. 16.637227584513067,1962,40.16549405231614, 16.637227584513067,POINT (40.16549405231614 16.637227584513067)
71,Japan,740,Asahi Uranium Enrichment Laboratory,35.55337768928075. 139.7488723630607,1982,35.55337768928075, 139.7488723630607,POINT (35.55337768928075 139.7488723630607)
72,Japan,740,JAEA Ningyo – Toge Enrichment Demo. Plant (DOP),35.3137544.133.9305704,1985,35.3137544,133.9305704,POINT (35.3137544 133.9305704)
73,Japan,740,JAEA Tokai Reprocessing Plant (Japan Nuclear Cycle Institute),36.4729507.140.5661634,1971,36.4729507,140.5661634,POINT (36.4729507 140.5661634)
74,Japan,740,Ningyo – Toge Uranium Pilot Plant,35.3137544.133.9305704,1978,35.3137544,133.9305704,POINT (35.3137544 133.9305704)
75,Japan,740,Reprocessing Test Facility (JRTF),36.26345434395012. 140.54965809791076,1968,36.26345434395012, 140.54965809791076,POINT (36.26345434395012 140.54965809791076)
76,Japan,740,Tokai Test Facility,36.4677129941714. 140.60685124788597,-99,36.4677129941714, 140.60685124788597,POINT (36.4677129941714 140.60685124788597)
77,Libya,620,Al Hashan Enrichment Facility,32.86618152088601. 13.237703748968759,-99,32.86618152088601, 13.237703748968759,POINT (32.86618152088601 13.237703748968759)
78,Libya,620,Plutonium Separation Facility at Tajura Nuclear Research Center,32.8279425.13.3818345,-99,32.8279425,13.3818345,POINT (32.8279425 13.3818345)
79,Libya,620,Tajoura Enrichment Facility,32.8279425.13.3818345,-99,32.8279425,13.3818345,POINT (32.8279425 13.3818345)
80,Netherlands,210,Almelo SP1 (Dutch),52.3670267.6.668491899999999,1971,52.3670267,6.668491899999999,POINT (52.3670267 6.668491899999999)
81,Netherlands,210,Almelo SP2 (German Plant adjacent to the Dutch one in Almelo),52.3670267.6.668491899999999,1971,52.3670267,6.668491899999999,POINT (52.3670267 6.668491899999999)
