"","facility_name","country","country_code","coordinates","lat","lng","start_date"
"1","Ezeiza – SF Reprocessing Facility","Argentina",160,"-34.854123.-58.522925","-34.854123","-58.522925",1968-01-01
"2","Ezeiza II – SF Reprocessing Facility","Argentina",160,"-34.854123.-58.522925","-34.854123","-58.522925",1978-01-01
"3","Pilcaniyeu Enrichment Facility I","Argentina",160,"-41.1226452.-70.7215709","-41.1226452","-70.7215709",1979-01-01
"4","Lucas Heights","Australia",900,"-34.0506403.150.9872444","-34.0506403","150.9872444",1965-01-01
"5","Silex Laser Enrichment Facility at Lucas Heights Science and Technology Complex","Australia",900,"38.63805199999999.-90.221913","38.63805199999999","-90.221913",1982-01-01
"6","Mol, Purex Reprocessing Facility, Eurochemic","Belgium",211,"51.194551.5.119991","51.194551","5.119991",1960-01-01
"7","Aerospace Technical Center (Institute of Advanced Studies)","Brazil",140,"-23.248269919363636. -45.85989846071746","-23.248269919363636"," -45.85989846071746",1975-01-01
"8","BRN Enrichment (Aramar Isotopic Enrichment Lab) Ipero, Sao Paulo","Brazil",140,"-23.393281.-47.6047147","-23.393281","-47.6047147",1976-01-01
"9","INB Resende –Pilot Enrichment Facility, Rio De Janeiro","Brazil",140,"-22.4722561.-44.4649211","-22.4722561","-44.4649211",1982-01-01
"10","IPEN – Reprocessing","Brazil",140,"-23.562264469783784. -46.73962500234428","-23.562264469783784"," -46.73962500234428",1960-01-01
"11","Pilot Enrichment Plant- Belo Horizonte (INB Resende)","Brazil",140,"-19.919052.-43.9386685","-19.919052","-43.9386685",1975-01-01
"12","Chalk River Site","Canada",20,"46.0159102.-77.45227609999999","46.0159102","-77.45227609999999",1944-01-01
"13","Montreal Lab","Canada",20,"45.5018869.-73.56739189999999","45.5018869","-73.56739189999999",1942-01-01
"14","China Institute of Atomic Energy (Diffusion Lab)","China",710,"28.7208.115.821061","28.7208","115.821061",1955-01-01
"15","China Institute of Atomic Energy (Radiochemistry Research Institute)","China",710,"28.7208.115.821062","28.7208","115.821062",NA
"16","Plant 405 Pilot Centrifuge Plant, Hanzhong","China",710,"33.0676099.107.02377","33.0676099","107.02377",NA
"17","Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong II","China",710,"33.0676099.107.02377","33.0676099","107.02377",NA
"18","Heping (located in Jinkouhe, Sichuan Province, Plant 814)","China",710,"29.24519.103.07845","29.24519","103.07845",NA
"19","Juiquan Atomic Energy Complex (Plant 404)","China",710,"39.7325499.98.49394","39.7325499","98.49394",NA
"20","Juiquan 2 (Atomic Energy Complex)","China",710,"39.7325499.98.49394","39.7325499","98.49394",1965-01-01
"21","Nuclear Fuel Component Plant (Pant 812, Yibin Sichuan)","China",710,"28.7512999.104.6417","28.7512999","104.6417",1968-01-01
"22","Lanzhou 1 (China Institute of Atomic Energy Tuoli, Plant 504)","China",710,"36.0613799.103.83417","36.0613799","103.83417",1958-01-01
"23","Lanzhou 3 (Indigenous Centrifuge Plant II)","China",710,"36.050357.103.850246","36.050357","103.850246",NA
"24","Plant 821 (Plutonium Production Complex in Guangyuan, Sichuan)","China",710,"32.4354899.105.84357","32.4354899","105.84357",1969-01-01
"25","Nuclear Research Institute of Czechoslovakia, Rez","Czech Republic",315,"50.17773772546516. 14.358938898294321","50.17773772546516"," 14.358938898294321",NA
"26","Hot Cell Facility at Inshas Nuclear Research Center","Egypt",651,"30.387053.31.4440355","30.387053","31.4440355",1980-01-01
"27","Le Bouchet -- Lab-Scale Reprocessing Plant","France",220,"48.53337994177564. 2.36166","48.53337994177564"," 2.36166",NA
"28","Areva NC La Hague – UP2 – 400 (renamed HAO facility in 1976)","France",220,"49.6639603.-1.8485699","49.6639603","-1.8485699",1961-01-01
"29","Areva NC La Hague – UP2 – 800","France",220,"49.6639603.-1.8485699","49.6639603","-1.8485699",1982-01-01
"30","Areva NC La Hague – UP3","France",220,"49.6639603.-1.8485699","49.6639603","-1.8485699",1982-01-01
"31","Atelier Pilote","France",220,"43.5050506.5.733836","43.5050506","5.733836",NA
"32","La Hague – AT1","France",220,"49.6639603.-1.8485699","49.6639603","-1.8485699",NA
"33","La Hague (Marcoule-UP1)","France",220,"49.6639603.-1.8485699","49.6639603","-1.8485699",1952-01-01
"34","ATTILA, (FONTENAY: ATTaque d’Irradiés-combustibles-en Lits d’Alumine)","France",220,"48.78970972878041. 2.286202820720732","48.78970972878041"," 2.286202820720732",1966-01-01
"35","Plutonium Chemistry Laboratory (LCPu) -- Fontenay-aux-Roses","France",220,"48.789776.2.287181","48.789776","2.287181",NA
"36","FONTENAY: BÂTIMENT RADIOCHIMIE (Building 18)","France",220,"48.789776.2.287182","48.789776","2.287182",1959-01-01
"37","FONTENAY: BÂTIMENT PLUTONIUM (Building 19)","France",220,"48.789776.2.287183","48.789776","2.287183",NA
"38","Fontenay Pilot Reprocessing Plant","France",220,"44.14627337596833. 4.70441761172913","44.14627337596833"," 4.70441761172913",1952-01-01
"39","Eurodif (Georges Besse I)","France",220,"44.33015095.4.72085710509542","44.33015095","4.72085710509542",1974-01-01
"40","PL81 Grenoble","France",220,"45.188529.5.724524","45.188529","5.724524",1968-01-01
"41","PL4","France",220,"50.3735195.-4.1197593","50.3735195","-4.1197593",1984-01-01
"42","Pierrelate GDP","France",220,"44.37775000000001.4.696981000000001","44.37775000000001","4.696981000000001",1960-01-01
"43","Pierrelatte, Laser","France",220,"44.37775000000001.4.696981000000001","44.37775000000001","4.696981000000001",1984-01-01
"44","PP35 Pierrelatte","France",220,"44.37775000000001.4.696981000000001","44.37775000000001","4.696981000000001",1968-01-01
"45","Enrichment Technology Company Ltd. Zweigniederlassung Deutschland","Germany",260,"51.165691.10.451526","51.165691","10.451526",1960-01-01
"46","Karlsruhe Nuclear Research Center, Institute for Nuclear Process Engineering","Germany",260,"49.0068901.8.4036527","49.0068901","8.4036527",1960-01-01
"47","Karlsruhe Reprocessing Plant (WAK)","Germany",260,"49.0068901.8.4036527","49.0068901","8.4036527",1967-01-01
"48","MILLI Reprocessing Test Facility","Germany",260,"49.09011800202879. 8.38227603148698","49.09011800202879"," 8.38227603148698",1965-01-01
"49","Plutonium Test Extraction Facility (Reprocessing Plant Karlsruhe)","Germany",260,"49.0068901.8.4036527","49.0068901","8.4036527",1977-01-01
"50","Urenco Germany GmbH, Gronau","Germany",260,"52.2121627.7.0755789","52.2121627","7.0755789",1982-01-01
"51","Wackersdorf Reprocessing Plant","Germany",260,"49.316069.12.167032","49.316069","12.167032",1985-01-01
"52","BARC, Trombay (Pilot)","India",750,"19.0222081.72.92686259999999","19.0222081","72.92686259999999",1980-01-01
"53","Bhabha Atomic Research Center (at Trombay)","India",750,"19.0093414.72.8984317","19.0093414","72.8984317",1964-01-01
"54","Center for Advanced Technology, Laser Enrichment Plant","India",750,"44.633911.-85.767344","44.633911","-85.767344",1984-01-01
"55","Kalpakkam Reprocessing Plant (KARP) Laboratory","India",750,"12.5238119.80.15681339999999","12.5238119","80.15681339999999",NA
"56","Power Reactor Fuel Reprocessing (PREFRE), Bhabha Atomic Research Centre","India",750,"19.018268.72.924778","19.018268","72.924778",1969-01-01
"57","Tehran Nuclear Research Center (Reprocessing)","Iran",630,"35.7218583.51.3346954","35.7218583","51.3346954",1967-01-01
"58","Plasma Physics Laboratories in Tehran (TNRC)","Iran",630,"35.7218583.51.3346954","35.7218583","51.3346954",NA
