"","address_found","country","coordinates","lat","lng","start_date","end_date","address","No.rd.","W.h","armament","RA_or_enclosure"
"1","Drovyanaya, Zabaykalsky Krai, Russia, 674054","RUS","51.5800782.113.0446632","51.5800782","113.0446632",1960-01-01,2002-01-01,"п. Дровяная, Читинской обл.",4,"44039","R-16, UR-100,
UR-100K, RSD-10,
RT-2PM","8 ork, 53 RA"
"2","Vypolzovo, Tver Oblast, Russia","RUS","57.8702991.33.6950888","57.8702991","33.6950888",1960-01-01,NA,"п. Озёрный (Выползово, Бологое-4),
Тверской обл.",7,"14245","R-16, MR-UR-100,
RT-2PM","3 ork, 50 RA,
27 RA"
"3","Yur'ya, Kirov Oblast, Russia","RUS","59.0438286.49.2638999","59.0438286","49.2638999",1960-01-01,NA,"г. Юрья, Кировской обл.",8,"44200","R-16, RSD-10,
RT-2PM","5 ork, 27 RA"
"4","Kostroma, Kostroma Oblast, Russia","RUS","57.7677078.40.9262609","57.7677078","40.9262609",1960-01-01,2005-01-01,"г. Кострома, Костромской обл.",10,"34029","R-16, UR-100,
MR-UR-100,
RT-23UTTH","3 ork, 27 RA"
"5","Dombarovskii, Orenburg Oblast, Russia","RUS","50.7610502.59.5331856","50.7610502","59.5331856",1964-01-01,NA,"п. Домбаровский, Оренбургской обл.",13,"68545","R-36, R-36M,
R-36MUTTH,
R-36M2","5 ork, 31 RA"
"6","Yoshkar-Ola, Mari El Republic, Russia","RUS","56.6418021.47.8895839","56.6418021","47.8895839",1960-01-01,NA,"г. Йошкар-Ола, Марийская АССР",14,"34096","R-16, RT-2, RT-2P
RT-2PM","5 ork, 27 RA"
"7","Shadrinsk, Kurgan Oblast, Russia","RUS","56.0867827.63.6293744","56.0867827","63.6293744",1960-01-01,1962-01-01,"г. Шадринск, Курганской обл.",18,"54084","-","5 orc"
"8","Khmelnytskyi, Khmelnytskyi Oblast, Ukraine, 29000","RUS","49.422983.26.987133","49.422983","26.987133",1960-01-01,1999-01-01,"г. Хмельницкий, Украина",19,"33874","R-12, R-14, UR-100,
UR-100U, UR-100NU","43 RA"
"9","Kansk, Krasnoyarsk Krai, Russia","RUS","56.2168141.95.71981459999999","56.2168141","95.71981459999999",1959-01-01,2007-01-01,"г. Валка, Латвия
г. Канск, Красноярский край",23,"21201
93971
93791?","R-2, R-12, RSD-10,
RT-2PM","50 RA, 53 RA,
33 RA"
"10","Kapustin Yar, Astrakhan Oblast, Russia","RUS","48.5752669.45.76617539999999","48.5752669","45.76617539999999",1960-01-01,1990-01-01,"г. Бад-Берка, Вост. Германия;
п. Капустин Яр, Астраханская Обл.;
п. Медведь, Новгородской обл.;
г. Гвардейск, Калининградской обл.",24,"14237","R-5M, R-12","50 RA"
"11","Svobodny, Amur Oblast, Russia","RUS","51.3768658.128.1347222","51.3768658","128.1347222",1960-01-01,1993-01-01,"п. Свободный, Амурской обл.",27,"33983","R-16, UR-100,
UR-100K","9 orc"
"12","Kozelsk, Kaluga Oblast, Russia","RUS","54.0375502.35.7666774","54.0375502","35.7666774",1960-01-01,NA,"г. Козельск, Калужской обл.",28,"54055","R-9A, UR-100,
UR-100NU","3 ork, 27 RA"
"13","Kapustin Yar, Astrakhan Oblast, Russia","RUS","48.5752669.45.76617539999999","48.5752669","45.76617539999999",1960-01-01,NA,"п. Капустин Яр, Астраханской обл.
г. Таураге (Шяуляй), Литва;
г. Иркутск, Иркутской обл.",29,"42341
59968","R-5M, R-12, R-14,
RT-2PM","50 RA, 53 RA,
33PA"
"14","Pruzhany, Belarus","RUS","52.55577779999999.24.4553069","52.55577779999999","24.4553069",1959-01-01,1990-01-01,"г. Пружаны, Белоруссия",31,"18288","R-12","50 RA"
"15","Pastavy, Belarus","RUS","55.11296979999999.26.8403543","55.11296979999999","26.8403543",1959-01-01,1993-01-01,"г. Мышанка (Поставы), Белоруссия",32,"14153","R-12, R-14, RSD-10","50 RA, 43 RA,
27 RA"
"16","Mazyr, Belarus","RUS","52.0366919.29.2195237","52.0366919","29.2195237",1959-01-01,1997-01-01,"г. Мышанка (Мозырь), Белоруссия",33,"14225","R-12, RSD-10,
RT-2PM","50 RA, 43 RA,
27 RA"
"17","Sibirsky, Altai Krai, Russia, 658045","RUS","53.5575826.83.8397706","53.5575826","83.8397706",1960-01-01,NA,"г. Орджоникидзе, Северная Осетия
ЗАТО Сибирский, Алтайский край",35,"34196
52929","R-12, R-14, RSD-10,
RT-2PM","43 RA, 33 RA"
"18","Krasnoyarsk Krai, Russia","RUS","64.24797579999999.95.11041759999999","64.24797579999999","95.11041759999999",1960-01-01,2002-01-01,"п. Гладкая, Красноярского края",36,"34139","R-16, UR-100,
UR-100K, RT-23UTTH","7 ork, 8 ork,
33 RA, 53 RA"
